path,orig_folder,proposed_class,final_class,confidence,reason,sr,channels,duration_s,subtype,error
Marine Animals\343682__mbari_mars__blue-whale-b-call-5x.wav,Marine Animals,marine_animal,marine_animal,high,folder label,48000,1,42.24,PCM_16,
Marine Animals\369485__mbari_mars__earthquake-audible-only-with-appropriate-speakers.wav,Marine Animals,natural_sound,natural_sound,medium,relabeled from marine_animal folder: filename keyword 'earthquake' — verify,48000,1,20.33,PCM_16,
Marine Animals\403844__mbari_mars__blue-whale-a-and-b-calls-audible-only-with-appropriate-speakers.wav,Marine Animals,marine_animal,marine_animal,high,folder label,48000,2,51.2,PCM_16,
Marine Animals\404313__mbari_mars__pacific-white-sided-dolphins.wav,Marine Animals,marine_animal,marine_animal,high,folder label,32000,1,33.14,PCM_16,
Marine Animals\404314__mbari_mars__marine-mammal-community (1).wav,Marine Animals,marine_animal,marine_animal,high,folder label,48000,1,7.56,PCM_16,
Marine Animals\404315__mbari_mars__beaked-whale-clicks (1).wav,Marine Animals,marine_animal,marine_animal,high,folder label,48000,1,16.35,PCM_16,
Marine Animals\404318__mbari_mars__cachalot-sperm-whale.wav,Marine Animals,marine_animal,marine_animal,high,folder label,48000,1,50.35,PCM_16,
Marine Animals\413377__mbari_mars__gray-whale.wav,Marine Animals,marine_animal,marine_animal,high,folder label,1000,1,31.32,PCM_16,
Marine Animals\5903000X.wav,Marine Animals,marine_animal,marine_animal,high,folder label,81920,1,1.02,PCM_16,
Marine Animals\6102100Q.wav,Marine Animals,marine_animal,marine_animal,high,folder label,81920,1,0.85,PCM_16,
Marine Animals\6102100T.wav,Marine Animals,marine_animal,marine_animal,high,folder label,81920,1,0.54,PCM_16,
Marine Animals\6102300R.wav,Marine Animals,marine_animal,marine_animal,high,folder label,81920,1,0.74,PCM_16,
Marine Animals\61023018.wav,Marine Animals,marine_animal,marine_animal,high,folder label,81920,1,1.06,PCM_16,
Marine Animals\6102301I.wav,Marine Animals,marine_animal,marine_animal,high,folder label,30000,1,2.75,PCM_16,
